seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
15,14,10,2,0,0,1,0,0,1,
46,14,12,2,0,0,0,0,0,0,
65,14,14,2,0,0,0,1,0,1,
43,14,16,2,0,0,0,0,0,0,
41,14,18,2,0,0,0,0,0,0,
53,14,20,2,0,0,0,0,0,0,
66,14,22,2,0,1,1,0,0,1,
55,14,24,2,0,0,0,0,,1,
28,14,26,2,0,0,0,0,0,1,
10,14,28,2,0,1,0,0,0,1,
20,14,30,2,0,0,0,0,0,1,
21,14,32,2,0,0,0,0,0,1,
63,15,1,1,0,0,0,0,0,0,
41,15,3,1,0,0,0,0,0,0,
39,15,5,1,0,0,0,0,0,0,
5,15,7,1,0,0,0,0,0,0,
59,15,9,1,0,0,0,0,,1,
65,15,11,1,0,0,0,0,,1,
30,15,13,1,0,0,0,0,0,0,
43,15,15,1,0,0,0,1,0,0,
8,15,17,1,0,0,0,0,0,0,
27,15,19,1,0,0,1,0,0,0,
17,15,21,1,0,0,0,0,0,0,
22,15,23,1,0,0,0,0,0,0,
12,15,25,1,0,0,0,0,0,1,
9,15,27,1,0,0,0,0,0,1,
19,15,29,1,0,0,0,0,0,0,
62,15,31,1,0,0,0,0,0,0,
23,15,2,2,0,0,0,0,0,0,
45,15,4,2,0,0,0,0,0,1,
10,15,6,2,0,0,0,0,0,,
55,15,8,2,0,0,0,0,0,0,
57,15,10,2,0,0,0,0,0,0,
26,15,12,2,0,1,0,0,,1,
53,15,14,2,0,0,0,0,0,0,
18,15,16,2,0,0,0,0,0,0,
37,15,18,2,0,0,0,1,0,0,
49,15,20,2,0,0,0,0,0,0,
54,15,22,2,0,0,1,0,0,0,
7,15,24,2,0,0,0,0,,1,
36,15,26,2,0,1,0,0,0,0,
20,15,28,2,0,0,0,0,0,1,
33,15,30,2,0,0,0,0,0,0,
25,15,32,2,0,0,0,0,0,0,
59,16,1,1,0,1,0,0,0,1,
33,16,3,1,0,0,0,0,,0,
5,16,5,1,0,0,0,0,0,0,
41,16,7,1,0,1,0,0,0,1,
49,16,9,1,0,0,0,0,,1,
15,16,11,1,0,0,0,0,0,1,
26,16,13,1,0,1,0,0,,1,
45,16,15,1,0,0,0,0,1,1,
18,16,17,1,0,1,0,0,0,0,
13,16,19,1,0,0,0,0,0,0,
27,16,21,1,0,0,0,0,0,1,
28,16,23,1,0,0,0,0,0,0,
43,16,25,1,0,0,0,0,,1,
8,16,27,1,0,0,0,0,0,1,
16,16,29,1,0,0,0,0,0,0,
17,16,31,1,0,0,0,0,0,1,
19,16,2,2,0,0,0,0,0,1,
24,16,4,2,0,0,0,0,0,1,
31,16,6,2,0,0,0,,1,1,
47,16,8,2,0,1,0,0,0,1,
37,16,10,2,0,0,0,0,0,1,
36,16,12,2,0,0,0,0,,1,
14,16,14,2,0,0,0,0,0,1,
7,16,16,2,0,0,0,0,0,1,
46,16,18,2,0,0,0,0,0,1,
23,16,20,2,0,0,0,0,0,1,
30,16,22,2,0,0,0,0,0,1,
40,16,24,2,0,0,0,0,,1,
53,16,26,2,0,0,0,0,0,1,
44,16,28,2,0,0,0,0,0,1,
12,16,30,2,0,0,0,0,0,1,
35,16,32,2,0,1,1,0,0,0,
63,17,1,1,0,0,0,0,0,0,
56,17,3,1,0,0,0,0,0,1,
44,17,5,1,0,0,0,0,0,1,
22,17,7,1,0,0,0,1,0,1,
18,17,9,1,0,0,0,0,,0,
36,17,11,1,0,1,1,0,0,1,
57,17,13,1,0,0,0,0,0,0,
16,17,15,1,0,1,0,1,0,0,
6,17,17,1,0,0,0,1,0,0,
48,17,19,1,0,0,0,0,0,0,
43,17,21,1,0,0,0,0,0,0,
12,17,23,1,0,0,0,0,0,1,
59,17,25,1,0,0,0,0,,1,
41,17,27,1,0,1,1,0,0,1,
39,17,29,1,0,0,0,0,1,0,
31,17,31,1,0,0,0,0,0,0,
